index,wnid,imagenet_label,hierarchy_depth,hierarchy_path
41,n01685808,whiptail,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > saurian > lizard > teiid lizard > whiptail
42,n01687978,agama,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > saurian > lizard > agamid > agama
43,n01688243,frilled_lizard,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > saurian > lizard > agamid > frilled lizard
44,n01689811,alligator_lizard,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > saurian > lizard > anguid lizard > alligator lizard
45,n01692333,Gila_monster,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > saurian > lizard > venomous lizard > Gila monster
46,n01693334,green_lizard,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > saurian > lizard > lacertid lizard > green lizard
47,n01694178,African_chameleon,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > saurian > lizard > chameleon > African chameleon
48,n01695060,Komodo_dragon,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > saurian > lizard > monitor > Komodo dragon
49,n01697457,African_crocodile,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > crocodilian reptile > crocodile > African crocodile
50,n01698640,American_alligator,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > crocodilian reptile > alligator > American alligator
51,n01704323,triceratops,16,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > archosaur > dinosaur > ornithischian > ceratopsian > triceratops
52,n01728572,thunder_snake,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > snake > colubrid snake > thunder snake
53,n01728920,ringneck_snake,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > snake > colubrid snake > ringneck snake
54,n01729322,hognose_snake,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > snake > colubrid snake > hognose snake
55,n01729977,green_snake,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > snake > colubrid snake > green snake
56,n01734418,king_snake,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > snake > colubrid snake > king snake
57,n01735189,garter_snake,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > snake > colubrid snake > garter snake
58,n01737021,water_snake,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > snake > colubrid snake > water snake
59,n01739381,vine_snake,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > snake > colubrid snake > vine snake
60,n01740131,night_snake,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > snake > colubrid snake > night snake
61,n01742172,boa_constrictor,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > snake > constrictor > boa > boa constrictor
62,n01744401,rock_python,16,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > snake > constrictor > boa > python > rock python
63,n01748264,Indian_cobra,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > snake > elapid > cobra > Indian cobra
64,n01749939,green_mamba,16,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > snake > elapid > mamba > black mamba > green mamba
65,n01751748,sea_snake,13,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > snake > sea snake
66,n01753488,horned_viper,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > snake > viper > horned viper
67,n01755581,diamondback,16,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > snake > viper > pit viper > rattlesnake > diamondback
68,n01756291,sidewinder,16,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > reptile > diapsid > snake > viper > pit viper > rattlesnake > sidewinder
69,n01768244,trilobite,10,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > arthropod > trilobite
70,n01770081,harvestman,11,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > arthropod > arachnid > harvestman
71,n01770393,scorpion,11,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > arthropod > arachnid > scorpion
72,n01773157,black_and_gold_garden_spider,12,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > arthropod > arachnid > spider > black and gold garden spider
73,n01773549,barn_spider,12,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > arthropod > arachnid > spider > barn spider
74,n01773797,garden_spider,12,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > arthropod > arachnid > spider > garden spider
75,n01774384,black_widow,12,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > arthropod > arachnid > spider > black widow
76,n01774750,tarantula,12,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > arthropod > arachnid > spider > tarantula
77,n01775062,wolf_spider,12,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > arthropod > arachnid > spider > wolf spider
78,n01776313,tick,12,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > arthropod > arachnid > acarine > tick
79,n01784675,centipede,10,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > arthropod > centipede
80,n01795545,black_grouse,11,entity > physical entity > object > whole > living thing > organism > animal > game > game bird > grouse > black grouse
81,n01796340,ptarmigan,11,entity > physical entity > object > whole > living thing > organism > animal > game > game bird > grouse > ptarmigan
82,n01797886,ruffed_grouse,11,entity > physical entity > object > whole > living thing > organism > animal > game > game bird > grouse > ruffed grouse
83,n01798484,prairie_chicken,11,entity > physical entity > object > whole > living thing > organism > animal > game > game bird > grouse > prairie chicken
84,n01806143,peacock,13,entity > physical entity > object > whole > living thing > organism > animal > game > game bird > phasianid > pheasant > peafowl > peacock
85,n01806567,quail,11,entity > physical entity > object > whole > living thing > organism > animal > game > game bird > phasianid > quail
86,n01807496,partridge,11,entity > physical entity > object > whole > living thing > organism > animal > game > game bird > phasianid > partridge
87,n01817953,African_grey,12,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > parrot > African grey
88,n01818515,macaw,12,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > parrot > macaw
89,n01819313,sulphur-crested_cockatoo,13,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > parrot > cockatoo > sulphur-crested cockatoo
90,n01820546,lorikeet,13,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > parrot > lory > lorikeet
91,n01824575,coucal,13,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > cuculiform bird > cuckoo > coucal
92,n01828970,bee_eater,12,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > coraciiform bird > bee eater
93,n01829413,hornbill,12,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > coraciiform bird > hornbill
94,n01833805,hummingbird,12,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > apodiform bird > hummingbird
95,n01843065,jacamar,12,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > piciform bird > jacamar
96,n01843383,toucan,12,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > piciform bird > toucan
97,n01847000,drake,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > aquatic bird > waterfowl > anseriform bird > duck > drake
98,n01855032,red-breasted_merganser,17,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > aquatic bird > waterfowl > anseriform bird > duck > sea duck > merganser > red-breasted merganser
99,n01855672,goose,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > aquatic bird > waterfowl > anseriform bird > goose
100,n01860187,black_swan,13,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > aquatic bird > swan > black swan
101,n01871265,tusker,11,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > tusker
102,n01872401,echidna,13,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > prototherian > monotreme > echidna
103,n01873310,platypus,13,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > prototherian > monotreme > platypus
104,n01877812,wallaby,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > metatherian > marsupial > kangaroo > wallaby
105,n01882714,koala,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > metatherian > marsupial > phalanger > koala
106,n01883070,wombat,13,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > metatherian > marsupial > wombat
107,n01910747,jellyfish,10,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > coelenterate > jellyfish
108,n01914609,sea_anemone,11,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > coelenterate > anthozoan > sea anemone
109,n01917289,brain_coral,13,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > coelenterate > anthozoan > coral > stony coral > brain coral
110,n01924916,flatworm,10,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > worm > flatworm
111,n01930112,nematode,10,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > worm > nematode
112,n01943899,conch,11,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > mollusk > gastropod > conch
113,n01944390,snail,11,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > mollusk > gastropod > snail
114,n01945685,slug,11,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > mollusk > gastropod > slug
115,n01950731,sea_slug,11,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > mollusk > gastropod > sea slug
116,n01955084,chiton,10,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > mollusk > chiton
117,n01968897,chambered_nautilus,11,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > mollusk > cephalopod > chambered nautilus
118,n01978287,Dungeness_crab,13,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > arthropod > crustacean > decapod crustacean > crab > Dungeness crab
119,n01978455,rock_crab,13,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > arthropod > crustacean > decapod crustacean > crab > rock crab
120,n01980166,fiddler_crab,13,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > arthropod > crustacean > decapod crustacean > crab > fiddler crab
121,n01981276,king_crab,13,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > arthropod > crustacean > decapod crustacean > crab > king crab
122,n01983481,American_lobster,14,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > arthropod > crustacean > decapod crustacean > lobster > true lobster > American lobster
123,n01984695,spiny_lobster,13,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > arthropod > crustacean > decapod crustacean > lobster > spiny lobster
124,n01985128,crayfish,12,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > arthropod > crustacean > decapod crustacean > crayfish
125,n01986214,hermit_crab,12,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > arthropod > crustacean > decapod crustacean > hermit crab
126,n01990800,isopod,12,entity > physical entity > object > whole > living thing > organism > animal > invertebrate > arthropod > crustacean > malacostracan crustacean > isopod
127,n02002556,white_stork,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > aquatic bird > wading bird > stork > white stork
128,n02002724,black_stork,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > aquatic bird > wading bird > stork > black stork
129,n02006656,spoonbill,13,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > aquatic bird > wading bird > spoonbill
130,n02007558,flamingo,13,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > aquatic bird > wading bird > flamingo
131,n02009229,little_blue_heron,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > aquatic bird > wading bird > heron > little blue heron
132,n02009912,American_egret,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > aquatic bird > wading bird > heron > egret > American egret
133,n02011460,bittern,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > aquatic bird > wading bird > heron > bittern
134,n02012849,crane,13,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > aquatic bird > wading bird > crane
135,n02013706,limpkin,13,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > aquatic bird > wading bird > limpkin
136,n02017213,European_gallinule,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > aquatic bird > gallinule > purple gallinule > European gallinule
137,n02018207,American_coot,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > aquatic bird > wading bird > rail > coot > American coot
138,n02018795,bustard,13,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > aquatic bird > wading bird > bustard
139,n02025239,ruddy_turnstone,16,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > aquatic bird > wading bird > shorebird > plover > turnstone > ruddy turnstone
140,n02027492,red-backed_sandpiper,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > aquatic bird > wading bird > shorebird > sandpiper > red-backed sandpiper
141,n02028035,redshank,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > aquatic bird > wading bird > shorebird > sandpiper > redshank
142,n02033041,dowitcher,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > aquatic bird > wading bird > shorebird > snipe > dowitcher
143,n02037110,oystercatcher,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > aquatic bird > wading bird > shorebird > oystercatcher
144,n02051845,pelican,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > aquatic bird > seabird > pelecaniform seabird > pelican
145,n02056570,king_penguin,15,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > aquatic bird > seabird > sphenisciform seabird > penguin > king penguin
146,n02058221,albatross,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > bird > aquatic bird > seabird > pelagic bird > albatross
147,n02066245,grey_whale,16,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > aquatic mammal > cetacean > whale > baleen whale > grey whale
148,n02071294,killer_whale,17,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > aquatic mammal > cetacean > whale > toothed whale > dolphin > killer whale
149,n02074367,dugong,14,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > aquatic mammal > sea cow > dugong
150,n02077923,sea_lion,16,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > aquatic mammal > pinniped mammal > seal > eared seal > sea lion
151,n02085620,Chihuahua,16,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > toy dog > Chihuahua
152,n02085782,Japanese_spaniel,16,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > toy dog > Japanese spaniel
153,n02085936,Maltese_dog,16,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > toy dog > Maltese dog
154,n02086079,Pekinese,16,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > toy dog > Pekinese
155,n02086240,Shih-Tzu,16,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > toy dog > Shih-Tzu
156,n02086646,Blenheim_spaniel,18,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > toy dog > toy spaniel > English toy spaniel > Blenheim spaniel
157,n02086910,papillon,17,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > toy dog > toy spaniel > papillon
158,n02087046,toy_terrier,16,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > toy dog > toy terrier
159,n02087394,Rhodesian_ridgeback,16,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > Rhodesian ridgeback
160,n02088094,Afghan_hound,17,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > hound > Afghan hound
161,n02088238,basset,17,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > hound > basset
162,n02088364,beagle,17,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > hound > beagle
163,n02088466,bloodhound,17,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > hound > bloodhound
164,n02088632,bluetick,17,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > hound > bluetick
165,n02089078,black-and-tan_coonhound,18,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > hound > coonhound > black-and-tan coonhound
166,n02089867,Walker_hound,18,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > hound > foxhound > Walker hound
167,n02089973,English_foxhound,18,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > hound > foxhound > English foxhound
168,n02090379,redbone,17,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > hound > redbone
169,n02090622,borzoi,18,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > hound > wolfhound > borzoi
170,n02090721,Irish_wolfhound,18,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > hound > wolfhound > Irish wolfhound
171,n02091032,Italian_greyhound,18,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > hound > greyhound > Italian greyhound
172,n02091134,whippet,18,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > hound > greyhound > whippet
173,n02091244,Ibizan_hound,17,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > hound > Ibizan hound
174,n02091467,Norwegian_elkhound,17,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > hound > Norwegian elkhound
175,n02091635,otterhound,17,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > hound > otterhound
176,n02091831,Saluki,17,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > hound > Saluki
177,n02092002,Scottish_deerhound,17,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > hound > Scottish deerhound
178,n02092339,Weimaraner,17,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > hound > Weimaraner
179,n02093256,Staffordshire_bullterrier,18,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > terrier > bullterrier > Staffordshire bullterrier
180,n02093428,American_Staffordshire_terrier,18,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > terrier > bullterrier > American Staffordshire terrier
181,n02093647,Bedlington_terrier,17,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > terrier > Bedlington terrier
182,n02093754,Border_terrier,17,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > terrier > Border terrier
183,n02093859,Kerry_blue_terrier,17,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > terrier > Kerry blue terrier
184,n02093991,Irish_terrier,17,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > terrier > Irish terrier
185,n02094114,Norfolk_terrier,17,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > terrier > Norfolk terrier
186,n02094258,Norwich_terrier,17,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > terrier > Norwich terrier
187,n02094433,Yorkshire_terrier,17,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > terrier > Yorkshire terrier
188,n02095314,wire-haired_fox_terrier,18,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > terrier > fox terrier > wire-haired fox terrier
189,n02095570,Lakeland_terrier,18,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > terrier > wirehair > Lakeland terrier
190,n02095889,Sealyham_terrier,19,entity > physical entity > object > whole > living thing > organism > animal > chordate > vertebrate > mammal > placental > carnivore > canine > dog > hunting dog > terrier > wirehair > Welsh terrier > Sealyham terrier
